Headline,Body ID,Stance,Agree,Disagree,Discuss,Unrelated
"""Austin is the only city in an arid landscape in the western United States dependent on a single source of water.""",23960,agree,0.534183845,0.0373799115,0.32021975699999994,0.10821648800000001
"""You can be an NFL player with murder charges and not be suspended.""",23961,unrelated,0.290325533237,0.1212054888095,0.039519162171,0.5489498150000001
"""We had an agreement that the president could have signed that would have kept 10,000 troops"" in Iraq.",23962,agree,0.413271825,0.0623816692,0.36573441,0.15861207006
"""We had an agreement that the president could have signed that would have kept 10,000 troops"" in Iraq.",23963,discuss,0.250706186,0.033809075099999995,0.52389739,0.1915873341
"""We had an agreement that the president could have signed that would have kept 10,000 troops"" in Iraq.",23964,agree,0.438463662,0.32364055,0.112690893,0.12520488703000002
"""We had an agreement that the president could have signed that would have kept 10,000 troops"" in Iraq.",23965,unrelated,0.15609201273335,0.1060291057085,0.029335835060000006,0.708543025
"""We had an agreement that the president could have signed that would have kept 10,000 troops"" in Iraq.",23966,unrelated,0.33590211975,0.12628607814999998,0.0228373898,0.51497443
"""We had an agreement that the president could have signed that would have kept 10,000 troops"" in Iraq.",23967,unrelated,0.24232418441500006,0.03274494446,0.036604637,0.68832622
"""We had an agreement that the president could have signed that would have kept 10,000 troops"" in Iraq.",23968,agree,0.48031241,0.130522421,0.3189481085,0.070217039565
"""We had an agreement that the president could have signed that would have kept 10,000 troops"" in Iraq.",23969,unrelated,0.019866601499999997,0.011658439575,0.005821144300000001,0.96265375
"""We had an agreement that the president could have signed that would have kept 10,000 troops"" in Iraq.",23970,unrelated,0.300649660975,0.004849578,0.19575690884,0.4987438632
"""We had an agreement that the president could have signed that would have kept 10,000 troops"" in Iraq.",23971,unrelated,0.37872222,0.07644752,0.1293459119,0.41548439265299997
"""We had an agreement that the president could have signed that would have kept 10,000 troops"" in Iraq.",23972,unrelated,0.005919490186,0.00021992468150000002,0.005613837412422,0.988246775
"""We spend more money on lobbying than we do on campaigns."" ",23973,agree,0.361552115,0.21769759585,0.31693657750000004,0.1038136909685
"""We spend more money on lobbying than we do on campaigns."" ",23974,agree,0.8104920500000001,0.059004927,0.0868917525,0.04361129187865
"Says Gov. Scott Walker’s proposed state budget contained 110 pages of errors -- an unusually high number -- ""and millions of dollars’ worth of mistakes"" that were corrected with a follow-up document.",23975,agree,0.65560565,0.033966384499999995,0.140939955,0.16948795
"""Once a woman enters into the sex trade, her average life expectancy is seven years.""",23976,unrelated,0.089456192771,0.04318167850599999,0.01098693663,0.85637515
"""Once a woman enters into the sex trade, her average life expectancy is seven years.""",23977,agree,0.554324105,0.3848227247,0.0418764865,0.018976669645
"""Once a woman enters into the sex trade, her average life expectancy is seven years.""",23978,agree,0.655697955,0.032496080274999985,0.114820962,0.19698500800000002
"""Once a woman enters into the sex trade, her average life expectancy is seven years.""",23979,unrelated,0.3928720180000001,0.0298514930125,0.015057105049999998,0.5622193799999999
"A 50-50 public-private split for paying for a new Milwaukee Bucks arena would ""be much better -- in terms of the portion of the public financing -- than most of the other arena projects done around the country."" ",23980,unrelated,0.3814644271680001,0.029821678153215,0.013534399535649999,0.57517945
"A 50-50 public-private split for paying for a new Milwaukee Bucks arena would ""be much better -- in terms of the portion of the public financing -- than most of the other arena projects done around the country."" ",23981,disagree,0.180515755,0.42889192600000003,0.28310659275000005,0.10748574425
"The Supreme Court ""can’t overrule the other two"" branches of government. ",23982,agree,0.6183584849999999,0.06084446850000001,0.15196064,0.1688363955
"The USA Freedom Act undercuts privacy because ""the phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government.""",23983,agree,0.46061071,0.048924514800000006,0.422967105,0.06749768184999999
"The USA Freedom Act undercuts privacy because ""the phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government.""",23984,unrelated,0.0993060525,0.00784823705,0.4095687528,0.4832769405
"The USA Freedom Act undercuts privacy because ""the phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government.""",23985,unrelated,0.144836988539,0.038454871207550013,0.020765482945,0.79594265
"The USA Freedom Act undercuts privacy because ""the phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government.""",23986,unrelated,0.07426184250000001,0.01156491885,0.37376407359999997,0.54040919
"The USA Freedom Act undercuts privacy because ""the phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government.""",23987,unrelated,0.03835220154,0.0020196608500000005,0.46179529965000005,0.497832832182
"The USA Freedom Act undercuts privacy because ""the phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government.""",23988,discuss,0.26525509299999994,0.16835505350000002,0.308893435,0.2574964175
"The USA Freedom Act undercuts privacy because ""the phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government.""",23989,agree,0.36295943,0.2083914915,0.3061276725,0.1225213973
"The USA Freedom Act undercuts privacy because ""the phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government.""",23990,agree,0.65889341,0.01845435552,0.251372815,0.07127944632849999
"The USA Freedom Act undercuts privacy because ""the phone records will be in the hands of the phone companies with hundreds of people available to look at the records, versus 20 or 30 people in the government.""",23991,discuss,0.235582275,0.2652459755,0.4405305900000001,0.0586411697415
"The runnerup to Caitlyn Jenner for ESPN’s Arthur Ashe Courage Award was ""Army veteran Noah Galloway, who lost an arm and leg to a roadside bomb in Iraq.""",23992,agree,0.810187605,0.00915691145,0.116179533,0.06447590728075
"The runnerup to Caitlyn Jenner for ESPN’s Arthur Ashe Courage Award was ""Army veteran Noah Galloway, who lost an arm and leg to a roadside bomb in Iraq.""",23993,unrelated,0.32529154739,0.11235631084,0.035213414035,0.5271387435
