Headline,Body ID,Stance,Agree,Disagree,Discuss,Unrelated
"U.S. Rep. John Barrow of Georgia has helped support the implementation of ""Obamacare.""",20965,agree,0.534183845,0.0373799115,0.32021975699999994,0.10821648800000001
"U.S. Rep. John Barrow of Georgia has helped support the implementation of ""Obamacare.""",20966,unrelated,0.290325533237,0.1212054888095,0.039519162171,0.5489498150000001
"North Korea has a ""substantial standing army, one of the largest, certainly the largest per capita, in the world.""",20967,agree,0.413271825,0.0623816692,0.36573441,0.15861207006
"North Korea has a ""substantial standing army, one of the largest, certainly the largest per capita, in the world.""",20968,discuss,0.250706186,0.033809075099999995,0.52389739,0.1915873341
"North Korea has a ""substantial standing army, one of the largest, certainly the largest per capita, in the world.""",20969,agree,0.438463662,0.32364055,0.112690893,0.12520488703000002
"North Korea has a ""substantial standing army, one of the largest, certainly the largest per capita, in the world.""",20970,unrelated,0.15609201273335,0.1060291057085,0.029335835060000006,0.708543025
"""Over the last 10 years, Texas created 33 percent of the net new jobs nationwide.""",20971,unrelated,0.33590211975,0.12628607814999998,0.0228373898,0.51497443
"""In 2010, everybody said you can't dare let guns go into the national parks, and of course the rapes, murders, robberies and assaults are down about 85 percent since we did that.""",20972,unrelated,0.24232418441500006,0.03274494446,0.036604637,0.68832622
"""In 2010, everybody said you can't dare let guns go into the national parks, and of course the rapes, murders, robberies and assaults are down about 85 percent since we did that.""",20973,agree,0.48031241,0.130522421,0.3189481085,0.070217039565
"""In 2010, everybody said you can't dare let guns go into the national parks, and of course the rapes, murders, robberies and assaults are down about 85 percent since we did that.""",20974,unrelated,0.019866601499999997,0.011658439575,0.005821144300000001,0.96265375
On an early date for Florida's presidential primary,20975,unrelated,0.300649660975,0.004849578,0.19575690884,0.4987438632
On an early date for Florida's presidential primary,20976,unrelated,0.37872222,0.07644752,0.1293459119,0.41548439265299997
On support for gay marriage,20977,unrelated,0.005919490186,0.00021992468150000002,0.005613837412422,0.988246775
On support for gay marriage,20978,agree,0.361552115,0.21769759585,0.31693657750000004,0.1038136909685
"Among Hispanics, support for immigration reform is close to universal.",20979,agree,0.8104920500000001,0.059004927,0.0868917525,0.04361129187865
"Among Hispanics, support for immigration reform is close to universal.",20980,agree,0.65560565,0.033966384499999995,0.140939955,0.16948795
"Among Hispanics, support for immigration reform is close to universal.",20981,unrelated,0.089456192771,0.04318167850599999,0.01098693663,0.85637515
"Among Hispanics, support for immigration reform is close to universal.",20982,agree,0.554324105,0.3848227247,0.0418764865,0.018976669645
"Among Hispanics, support for immigration reform is close to universal.",20983,agree,0.655697955,0.032496080274999985,0.114820962,0.19698500800000002
"Says ""The idea of one casino per tribe is a false one.""",20984,unrelated,0.3928720180000001,0.0298514930125,0.015057105049999998,0.5622193799999999
